date,/g/11j2cc_qll
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.2171178334204887
2020-02-11,0.0
2020-02-12,0.310168333457841
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.1550841667289205
2020-02-17,0.3411851668036252
2020-02-18,0.0
2020-02-19,0.1550841667289205
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.46525250018676156
2020-02-23,1.2716901671771481
2020-02-24,0.6513535002614662
2020-02-25,0.5583030002241138
2020-02-26,1.6749090006723415
2020-02-27,0.620336666915682
2020-02-28,2.140161500859103
2020-02-29,1.1476228337940118
2020-03-01,2.6984645010832167
2020-03-02,4.249306168372421
2020-03-03,1.3647406672145008
2020-03-04,2.79151500112057
2020-03-05,1.9850773341301828
2020-03-06,2.4193130009711603
2020-03-07,2.94659916784949
2020-03-08,4.125238834989286
2020-03-09,3.2567675013073307
2020-03-10,4.125238834989286
2020-03-11,5.0867606687085924
2020-03-12,9.274033170389444
2020-03-13,16.314854339882437
2020-03-14,16.066719673116168
2020-03-15,19.354504007769282
2020-03-16,20.657211008292208
2020-03-17,25.7439716770008
2020-03-18,24.534315176515225
2020-03-19,19.974840674684962
2020-03-20,19.88179017464761
2020-03-21,21.556699175319956
2020-03-22,19.88179017464761
2020-03-23,23.38669234272122
2020-03-24,23.57279334279592
2020-03-25,25.278719176814047
2020-03-26,28.039217344588838
2020-03-27,29.652092678569602
2020-03-28,25.43380334354297
2020-03-29,23.13855767595494
2020-03-30,22.73533884245974
2020-03-31,21.215514008516333
2020-04-01,18.330948507358404
2020-04-02,20.657211008292208
2020-04-03,19.72670600791869
2020-04-04,16.066719673116168
2020-04-05,21.27754767520789
2020-04-06,19.757722841264474
2020-04-07,22.052968508852494
2020-04-08,23.169574509300723
2020-04-09,18.827217840890953
2020-04-10,16.252820673190868
2020-04-11,17.98976334055478
2020-04-12,17.121292006872824
2020-04-13,18.29993167401262
2020-04-14,18.951285174274087
2020-04-15,18.920268340928303
2020-04-16,21.587716008665733
2020-04-17,19.850773341301824
2020-04-18,16.46993850661136
2020-04-19,18.45501584074154
2020-04-20,19.447554507806636
2020-04-21,18.1448475072837
2020-04-22,18.486032674087326
2020-04-23,17.586544507059585
2020-04-24,15.136214672742645
2020-04-25,15.04316417270529
2020-04-26,12.903002671846188
2020-04-27,18.98230200761987
2020-04-28,20.84331200836692
2020-04-29,23.231608175992296
2020-04-30,21.773817008740437
2020-05-01,15.663500839620973
2020-05-02,18.548066340778888
2020-05-03,16.252820673190868
2020-05-04,18.423999007395757
2020-05-05,20.22297534145123
2020-05-06,16.594005839994498
2020-05-07,18.392982174049976
2020-05-08,16.283837506536653
2020-05-09,17.927729673863208
2020-05-10,16.904174173452336
2020-05-11,16.066719673116168
2020-05-12,15.694517672966759
2020-05-13,19.88179017464761
2020-05-14,15.136214672742645
2020-05-15,14.639945339210096
2020-05-16,14.050625505640198
2020-05-17,13.18215417195824
2020-05-18,12.18961550489315
2020-05-19,12.375716504967851
2020-05-20,13.67842350549079
2020-05-21,10.390639170837673
2020-05-22,10.297588670800323
2020-05-23,10.26657183745454
2020-05-24,10.638773837603946
2020-05-25,10.390639170837673
2020-05-26,12.903002671846188
2020-05-27,14.236726505714905
2020-05-28,13.89554133891128
2020-05-29,10.111487670725616
2020-05-30,8.157427169941219
2020-05-31,9.522167837155719
2020-06-01,8.312511336670138
2020-06-02,11.755379838052171
2020-06-03,11.352161004556983
2020-06-04,9.677252003884641
2020-06-05,8.684713336819549
2020-06-06,10.483689670875027
2020-06-07,6.8857370027640705
2020-06-08,8.901831170240039
2020-06-09,8.281494503324355
2020-06-10,7.444040002988185
2020-06-11,7.350989502950833
2020-06-12,8.064376669903869
2020-06-13,6.668619169343583
2020-06-14,8.343528170015924
2020-06-15,8.7777638368569
2020-06-16,11.507245171285899
2020-06-17,10.700807504295513
2020-06-18,10.669790670949732
2020-06-19,15.415366172854695
2020-06-20,15.911635506387245
2020-06-21,15.353332506163131
2020-06-22,16.40790483991979
2020-06-23,16.22180383984508
2020-06-24,16.345871173228225
2020-06-25,12.127581838201584
2020-06-26,12.8719858385004
2020-06-27,8.622679670127981
2020-06-28,8.83979750354847
2020-06-29,12.127581838201584
2020-06-30,16.656039506686064
2020-07-01,10.669790670949732
2020-07-02,10.111487670725616
2020-07-03,8.932848003585821
2020-07-04,10.669790670949732
2020-07-05,7.9403093365207305
2020-07-06,11.25911050451963
2020-07-07,10.26657183745454
2020-07-08,12.096565004855801
2020-07-09,11.972497671472663
2020-07-10,13.554356172107653
2020-07-11,6.5755686693062305
2020-07-12,9.274033170389444
2020-07-13,8.219460836632788
2020-07-14,13.740457172182355
2020-07-15,12.25164917158472
2020-07-16,15.26028200612578
2020-07-17,11.972497671472663
2020-07-18,13.92655817225706
2020-07-19,9.367083670426798
2020-07-20,11.755379838052171
2020-07-21,10.235555004108754
2020-07-22,9.522167837155719
2020-07-23,10.576740170912377
2020-07-24,12.127581838201584
2020-07-25,10.514706504220813
2020-07-26,12.903002671846188
2020-07-27,8.541227617278716
2020-07-28,13.166706183656014
2020-07-29,12.269347026157773
2020-07-30,11.567775321204604
2020-07-31,10.441997469070445
2020-08-01,10.02594913241217
2020-08-02,10.939623910955834
2020-08-03,11.035734564592877
2020-08-04,12.305507477185808
2020-08-05,24.826146203972776
2020-08-06,10.541431230456375
