date,/m/0b76bty
2020-01-29,8.627141383286608
2020-01-30,20.23375942987322
2020-01-31,30.81757205472999
2020-02-01,14.946863650508933
2020-02-02,16.60258602757593
2020-02-03,13.517952557971658
2020-02-04,11.363245354939261
2020-02-05,15.491210733380276
2020-02-06,10.728173758256034
2020-02-07,13.472590301065717
2020-02-08,15.045318076179443
2020-02-09,14.415569289776242
2020-02-10,8.494889045761004
2020-02-11,11.473616373495382
2020-02-12,13.128464888903366
2020-02-13,17.063326914429034
2020-02-14,11.179421081867298
2020-02-15,14.011620775992267
2020-02-16,14.236523795801524
2020-02-17,10.724596175086559
2020-02-18,15.898080949688175
2020-02-19,15.067302372744853
2020-02-20,14.727438409449853
2020-02-21,11.479849426853217
2020-02-22,11.253273451323214
2020-02-23,14.409868144042814
2020-02-24,14.830034934003478
2020-02-25,17.64870248085511
2020-02-26,21.01989292751573
2020-02-27,20.315226040802823
2020-02-28,20.843726205837513
2020-02-29,25.055712369598755
2020-03-01,28.56303164664707
2020-03-02,26.272864264830144
2020-03-03,24.75943197404902
2020-03-04,18.809801328279782
2020-03-05,19.85879408009105
2020-03-06,19.11408930208764
2020-03-07,17.05614168975562
2020-03-08,16.599709729043852
2020-03-09,18.01705108072776
2020-03-10,25.15180330869597
2020-03-11,32.5267828844072
2020-03-12,33.960139392607324
2020-03-13,37.27527679146122
2020-03-14,40.694512707670455
2020-03-15,45.24281715827193
2020-03-16,49.80713676538967
2020-03-17,52.8340013469519
2020-03-18,62.76474089361713
2020-03-19,63.20288917210657
2020-03-20,66.37946419115531
2020-03-21,59.478628804946084
2020-03-22,52.35871927949213
2020-03-23,48.85353305157633
2020-03-24,54.862786975301645
2020-03-25,41.191240687817945
2020-03-26,37.472099705783265
2020-03-27,50.10314455042935
2020-03-28,47.15590075334526
2020-03-29,35.36692556500894
2020-03-30,36.279167692677824
2020-03-31,30.992702375790287
2020-04-01,25.724549715777446
2020-04-02,31.166281386422664
2020-04-03,27.20865835322615
2020-04-04,23.071143363975217
2020-04-05,28.243037100538878
2020-04-06,18.97860136373791
2020-04-07,23.430927276083985
2020-04-08,16.72834573487901
2020-04-09,23.553510794709638
2020-04-10,17.040608188596735
2020-04-11,19.271054286580615
2020-04-12,17.397479564274168
2020-04-13,12.401280304790301
2020-04-14,14.631726402774168
2020-04-15,18.55731153522577
2020-04-16,16.99599926663707
2020-04-17,14.720944246693517
2020-04-18,17.843568783870936
2020-04-19,15.479295920008042
2020-04-20,21.947589604161255
2020-04-21,17.174434954475775
2020-04-22,14.088420623824854
2020-04-23,11.63536654112328
2020-04-24,14.145534449741245
2020-04-25,13.466312545056384
2020-04-26,12.964278963332793
2020-04-27,13.702563642338081
2020-04-28,12.934747576172578
2020-04-29,10.158797183112712
2020-04-30,12.020274326005525
2020-05-01,7.854328960788826
2020-05-02,11.63289802841156
2020-05-03,11.696581776742285
2020-05-04,13.09762424001813
2020-05-05,10.486590558458596
2020-05-06,11.378163035088688
2020-05-07,8.094430071273516
2020-05-08,11.75444001568021
2020-05-09,11.023442502267262
2020-05-10,12.426957728020124
2020-05-11,12.368477926947088
2020-05-12,9.56144747544136
2020-05-13,12.30999812587405
2020-05-14,11.809723039147034
2020-05-15,12.71016394798283
2020-05-16,13.25599920955264
2020-05-17,14.191716800815183
2020-05-18,11.670477735468891
2020-05-19,11.046666007960527
2020-05-20,10.136940572010845
2020-05-21,13.645881539245364
2020-05-22,10.444938850373596
2020-05-23,9.532019456653606
2020-05-24,16.904073913277333
2020-05-25,10.89373652188984
2020-05-26,9.062461847951464
2020-05-27,13.288480326270788
2020-05-28,11.363294130591989
2020-05-29,12.886084083203437
2020-05-30,10.824403301491543
2020-05-31,12.686200669348091
2020-06-01,10.174939103402055
2020-06-02,7.230701405396356
2020-06-03,10.348129556225913
2020-06-04,12.166629310876493
2020-06-05,9.04920116004693
2020-06-06,6.433355929888119
2020-06-07,7.870845716419895
2020-06-08,7.022491088302781
2020-06-09,7.517364621371098
2020-06-10,11.7120069492835
2020-06-11,9.119812252258978
2020-06-12,9.00198522057605
2020-06-13,8.858429227345898
2020-06-14,6.910414653873737
2020-06-15,8.97371381593083
2020-06-16,8.646206012429701
2020-06-17,10.119991128184767
2020-06-18,9.825234105033752
2020-06-19,11.200766879738477
2020-06-20,11.951375700934388
2020-06-21,10.340279049217129
2020-06-22,11.185533467409261
2020-06-23,10.791081405586265
2020-06-24,9.01604712738278
2020-06-25,9.410499189205781
2020-06-26,11.636335823778401
2020-06-27,9.044222274655855
2020-06-28,6.050499694676498
2020-06-29,12.238510746050189
2020-06-30,13.81989134806791
2020-07-01,10.038329038895098
2020-07-02,11.72284315843571
2020-07-03,13.64800215219642
2020-07-04,10.794641500729664
2020-07-05,12.939200145582717
2020-07-06,15.458218811048164
2020-07-07,19.865455663559782
2020-07-08,14.339964684291497
2020-07-09,22.562421498678827
2020-07-10,15.787117083623665
2020-07-11,21.246828408376846
2020-07-12,21.601901841088665
2020-07-13,15.578956614559782
2020-07-14,18.47160107880164
2020-07-15,20.49645220377095
2020-07-16,19.959246803268883
2020-07-17,20.04189378796151
2020-07-18,14.421898828863032
2020-07-19,18.926159494611085
2020-07-20,22.012422970868077
2020-07-21,22.542181823862094
2020-07-22,27.309166510628625
2020-07-23,19.633513201428272
2020-07-24,30.70261323680141
2020-07-25,18.987142396442987
2020-07-26,25.935628550034878
2020-07-27,18.73048615743955
2020-07-28,15.537786943359514
2020-07-29,24.655000769628312
2020-07-30,19.646953738297572
2020-07-31,18.405642935660023
