date,/m/0g9pc
2020-01-29,30.183901182917307
2020-01-30,36.4642033398725
2020-01-31,24.99303919604618
2020-02-01,20.70128853005225
2020-02-02,18.867898402283213
2020-02-03,16.411511629155775
2020-02-04,16.53611095822746
2020-02-05,14.222123418324793
2020-02-06,13.438927635588513
2020-02-07,13.919525047722143
2020-02-08,14.026324472640729
2020-02-09,13.348556630199234
2020-02-10,10.276871723818157
2020-02-11,11.199641263595192
2020-02-12,12.19825487513472
2020-02-13,11.793753159068068
2020-02-14,10.643451404003553
2020-02-15,9.24033607639739
2020-02-16,9.78182199109003
2020-02-17,9.244954074892053
2020-02-18,10.584802491543066
2020-02-19,10.255930607456007
2020-02-20,7.649316415062199
2020-02-21,7.685857735516318
2020-02-22,10.877133055176024
2020-02-23,19.84094138897783
2020-02-24,28.17854694996574
2020-02-25,33.22481151473613
2020-02-26,39.11069225496917
2020-02-27,41.501028101439346
2020-02-28,45.27930089102126
2020-02-29,44.36257710760796
2020-03-01,42.32350925291297
2020-03-02,45.433516106922546
2020-03-03,47.112748457847864
2020-03-04,46.041809458533265
2020-03-05,48.791980808773154
2020-03-06,49.38313913639481
2020-03-07,51.276559287183034
2020-03-08,53.478409869773856
2020-03-09,59.40712816997948
2020-03-10,66.74091843728584
2020-03-11,75.52261823166558
2020-03-12,83.25051405071972
2020-03-13,91.04694996572998
2020-03-14,96.53872515421526
2020-03-15,100.0
2020-03-16,97.84955448937633
2020-03-17,93.086017820425
2020-03-18,91.28225863300715
2020-03-19,81.6957779225586
2020-03-20,71.37187561899869
2020-03-21,69.94970540371234
2020-03-22,67.68476765344153
2020-03-23,55.72800325084916
2020-03-24,57.680343951195184
2020-03-25,53.36568953457929
2020-03-26,47.31471522743972
2020-03-27,45.79221201467555
2020-03-28,44.62105569716468
2020-03-29,39.897391883204115
2020-03-30,33.96353320781564
2020-03-31,32.032562714432714
2020-04-01,30.993251742854323
2020-04-02,31.76443554546737
2020-04-03,28.825599973347366
2020-04-04,30.430495995001564
2020-04-05,27.324917979073316
2020-04-06,26.470362954556148
2020-04-07,23.448156160532015
2020-04-08,21.94260743609367
2020-04-09,21.597301739674457
2020-04-10,21.39325746451765
2020-04-11,21.722867447463262
2020-04-12,20.561384650416823
2020-04-13,22.272217419039283
2020-04-14,19.855077544104798
2020-04-15,18.96991574504573
2020-04-16,16.451925487413142
2020-04-17,20.76076311506897
2020-04-18,18.076380314951837
2020-04-19,17.039494254820752
2020-04-20,16.244548275386922
2020-04-21,14.550967710506164
2020-04-22,14.61800674192521
2020-04-23,14.19858714186822
2020-04-24,14.90851649896163
